n,point_estimate,ci_width,theory_width,observed_gap,statistic_type
4930,0.7208340915747812,0.03394162951484958,0.034305052808407566,0.9894061293073154,auc_hanley_mcneil
1369,0.7575184270788606,0.058753088929308195,0.05090007768214465,1.1542828931657667,auc_hanley_mcneil
749,0.731518137348326,0.08931748039714726,0.08331440476033082,1.0720532740296878,auc_hanley_mcneil
1534,0.7902974291830008,0.06690821518376167,0.06457346258189162,1.0361565341011276,auc_hanley_mcneil
1278,0.7677051965678576,0.09258937837129266,0.10615831862198045,0.8721820350319839,auc_hanley_mcneil
694,0.6570605187319885,0.06963256484149849,0.070634644089045,0.9858132045475695,proportion_wilson
4930,0.7208340915747812,0.03394162951484958,0.034305052808407566,0.9894061293073154,auc_hanley_mcneil
1369,0.7575184270788606,0.058753088929308195,0.05090007768214465,1.1542828931657667,auc_hanley_mcneil
749,0.731518137348326,0.08931748039714726,0.08331440476033082,1.0720532740296878,auc_hanley_mcneil
1534,0.7902974291830008,0.06690821518376167,0.06457346258189162,1.0361565341011276,auc_hanley_mcneil
1278,0.7677051965678576,0.09258937837129266,0.10615831862198045,0.8721820350319839,auc_hanley_mcneil
694,0.6570605187319885,0.06963256484149849,0.070634644089045,0.9858132045475695,proportion_wilson
